State,District,Sub-District
Andaman Nicobar Islands,Andamans,Diglipur
Andaman Nicobar Islands,Andamans,Ferrargunj
Andaman Nicobar Islands,Andamans,Mayabunder
Andaman Nicobar Islands,Andamans,Port Blair
Andaman Nicobar Islands,Andamans,Rangat
Andaman Nicobar Islands,Nicobars,Car Nicobar
Andaman Nicobar Islands,Nicobars,Nancowry
Andhra Pradesh,Anantapur,Agali
Andhra Pradesh,Anantapur,Amadagur
Andhra Pradesh,Anantapur,Amarapuram
Andhra Pradesh,Anantapur,Anantapur
Andhra Pradesh,Anantapur,Atmakur
Andhra Pradesh,Anantapur,Bathalapalle
Andhra Pradesh,Anantapur,Beluguppa
Andhra Pradesh,Anantapur,Bommanahal
Andhra Pradesh,Anantapur,Brahmasamudram
Andhra Pradesh,Anantapur,Bukkapatnam
Andhra Pradesh,Anantapur,Bukkarayasamudram
Andhra Pradesh,Anantapur,Chennekothapalle
Andhra Pradesh,Anantapur,Chilamathur
Andhra Pradesh,Anantapur,D.Hirehal
Andhra Pradesh,Anantapur,Dharmavaram
Andhra Pradesh,Anantapur,Gandlapenta
Andhra Pradesh,Anantapur,Garladinne
Andhra Pradesh,Anantapur,Gooty
Andhra Pradesh,Anantapur,Gorantla
Andhra Pradesh,Anantapur,Gudibanda
Andhra Pradesh,Anantapur,Gummagatta
Andhra Pradesh,Anantapur,Guntakal
Andhra Pradesh,Anantapur,Hindupur
Andhra Pradesh,Anantapur,Kadiri
Andhra Pradesh,Anantapur,Kalyandurg
Andhra Pradesh,Anantapur,Kambadur
Andhra Pradesh,Anantapur,Kanaganapalle
Andhra Pradesh,Anantapur,Kanekal
Andhra Pradesh,Anantapur,Kothacheruvu
Andhra Pradesh,Anantapur,Kudair
Andhra Pradesh,Anantapur,Kundurpi
Andhra Pradesh,Anantapur,Lepakshi
Andhra Pradesh,Anantapur,Madakasira
Andhra Pradesh,Anantapur,Mudigubba
Andhra Pradesh,Anantapur,Nallacheruvu
Andhra Pradesh,Anantapur,Nallamada
Andhra Pradesh,Anantapur,Nambulapulakunta
Andhra Pradesh,Anantapur,Narpala
Andhra Pradesh,Anantapur,Obuladevarecheruvu
Andhra Pradesh,Anantapur,Pamidi
Andhra Pradesh,Anantapur,Parigi
Andhra Pradesh,Anantapur,Peddapappur
Andhra Pradesh,Anantapur,Peddavadugur
Andhra Pradesh,Anantapur,Penukonda
Andhra Pradesh,Anantapur,Putlur
